,Date and Time,Description,data,column0,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
66065,Jun 03 07:08:02,"Received: $GNGNS,013802.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*76","GNGNS,013802.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013802.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66081,Jun 03 07:08:03,"Received: $GNGNS,013803.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*77","GNGNS,013803.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013803.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66097,Jun 03 07:08:04,"Received: $GNGNS,013804.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*70","GNGNS,013804.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013804.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66113,Jun 03 07:08:05,"Received: $GNGNS,013805.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*71","GNGNS,013805.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013805.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66129,Jun 03 07:08:06,"Received: $GNGNS,013806.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*72","GNGNS,013806.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013806.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66147,Jun 03 07:08:07,"Received: $GNGNS,013807.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*73","GNGNS,013807.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013807.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66163,Jun 03 07:08:08,"Received: $GNGNS,013808.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7C","GNGNS,013808.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013808.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66179,Jun 03 07:08:09,"Received: $GNGNS,013809.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7D","GNGNS,013809.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013809.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66195,Jun 03 07:08:10,"Received: $GNGNS,013810.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*75","GNGNS,013810.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013810.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66211,Jun 03 07:08:11,"Received: $GNGNS,013811.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*74","GNGNS,013811.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013811.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66227,Jun 03 07:08:12,"Received: $GNGNS,013812.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*77","GNGNS,013812.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013812.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66243,Jun 03 07:08:13,"Received: $GNGNS,013813.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*76","GNGNS,013813.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013813.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66259,Jun 03 07:08:14,"Received: $GNGNS,013814.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*71","GNGNS,013814.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013814.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66275,Jun 03 07:08:15,"Received: $GNGNS,013815.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*70","GNGNS,013815.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013815.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66291,Jun 03 07:08:16,"Received: $GNGNS,013816.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*73","GNGNS,013816.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013816.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66309,Jun 03 07:08:17,"Received: $GNGNS,013817.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*72","GNGNS,013817.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013817.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66325,Jun 03 07:08:18,"Received: $GNGNS,013818.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7D","GNGNS,013818.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013818.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66341,Jun 03 07:08:19,"Received: $GNGNS,013819.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7C","GNGNS,013819.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013819.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66357,Jun 03 07:08:20,"Received: $GNGNS,013820.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*76","GNGNS,013820.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013820.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66373,Jun 03 07:08:21,"Received: $GNGNS,013821.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*77","GNGNS,013821.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013821.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66389,Jun 03 07:08:22,"Received: $GNGNS,013822.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*74","GNGNS,013822.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013822.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66405,Jun 03 07:08:23,"Received: $GNGNS,013823.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*75","GNGNS,013823.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013823.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66421,Jun 03 07:08:24,"Received: $GNGNS,013824.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*72","GNGNS,013824.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013824.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66437,Jun 03 07:08:25,"Received: $GNGNS,013825.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*73","GNGNS,013825.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013825.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66453,Jun 03 07:08:26,"Received: $GNGNS,013826.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*70","GNGNS,013826.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013826.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66471,Jun 03 07:08:27,"Received: $GNGNS,013827.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*71","GNGNS,013827.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013827.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66487,Jun 03 07:08:28,"Received: $GNGNS,013828.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7E","GNGNS,013828.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013828.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66503,Jun 03 07:08:29,"Received: $GNGNS,013829.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7F","GNGNS,013829.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013829.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
